Latin name, Botanical family and Growth habit	Vernacular name(s)	Part(s) used, Use(s) and Reference(s)
		Leaves, stem and flowers: Tea used for good health. Steam from tea used to clear congested nasal passages [Dene: 99]. 
		Roots: Tea drunk to cure chest pain [Dene: 101].
Rhus aromatica Aiton	white sumac, fragrant sumac (Eng.); sumac aromatique (Fr.); bŏkkwan'ībŏk (Ojibwa)	Roots: Decoction taken to cure diarrhoea [Objiwa: 84]. 
Anacardiaceae, Shrub		Bark and fruits: Used in medicinal ceremonies [Ojibwa: 86]. 
Rhus copallinum L.	shining sumac, winged sumac (Eng.); sumac brillant (Fr.)	Fruits and bark: Medicinal [Mi'kmaq: 61].
Anacardiaceae, Tree		
Rhus glabra L.	smooth sumac, dwarf sumac (Eng.); sumac glabre (Fr.); pakwan-mins, bakwa'nak, maki'bûg (Ojibwa)	Medicinal [Ojibwa: 86]. Boiled and poured into the ear to treat earache [Mi'kmaq: 43]. Decoction used in dysentery [Ojibwa: 47].
Anacardiaceae, Tree		Bark: Tea used as a hemostatic [Ojibwa: 86].
		Inner bark: Used in combination with other planst as an astringent [Ojibwa: 86].
		Flowers: Steeped and used for sore eyes [Ojibwa: 86]. Chewed to cure sore mouth. Drink taken as a remedy for asthma [Ojibwa: 85].
		Leaves: Used in poultices [Ojibwa: 86] or to wash sore mouth [Ojibwa: 85].
		Fruits: Used as a throat cleanser [Ojibwa: 86]. 
		Roots: Steeped to make a drink to treat cold or used as an emetic [Ojibwa: 85]. 
Rhus typhina L.	staghorn sumac (Eng.); sumac vinaigrier (Fr.); sla'nimus (Malecite); bakwanâtig, bakwana'tîg (Ojibwa)	Used in sore throat [Mi'kmaq: 43]. 
Syn.: R. hirta (L.) Sudw.		Fruits and leaves: Crushed and prepared as a gargle for sore throats [55]. 
Anacardiaceae, Tree		Roots: Used to stop haemorrhaging [Ojibwa: 86], or mixed with other plants for rheumatism [Algonquin: 69]. 
		Flowers: Decoction taken to treat stomach pain [Ojibwa: 47].
		Roots and fruits: Steeped and taken as a blood purifier, or mixed with blackberry root, mountain holly, orange-red lily root and mountain raspberry root and used for consumption or for cough and fever [Malecite: 65]. 
Ribes americanum Mill.	wild black currant, American black currant (Eng.); gadellier d'Amérique (Fr.)	Whole plant: Herbal water taken to induce menses and to treat diabetes [Cree: 93]. 
Grossulariaceae, Shrub		
Ribes glandulosum Grauer	skunk currant (Eng.); gadellier glanduleux (Fr.); mīthicīmin (Cree); wabos'odji'bĭk (Ojibwa)	Stems: Used alone or with Rubus idaeus to make a decoction given to prevent blood clotting after birth [Cree: 95]. 
Grossulariaceae, Shrub		Roots: Decoction taken in back pain and "women diseases" [Ojibwa: 47].
Ribes hudsonianum Richardson	northern black currant (Eng.); gadellier de la Baie d'Hudson (Fr.)	Roots: Boiled with other plants to make a drink for cold [Dene: 13]. 
Grossulariaceae Shrub		Stems: Mixed with Ribes oxycanthoides in a decoction used to treat sickness after childbirth [Cree: 95]. Decoction with leaves and flowers taken as a cough medicine [Dene: 98].
		Roots and bark: Medicinal [Ojibwa: 86]. 
Ribes lacustre (Pers.) Poir.	swamp gooseberry (Eng.); gadellier lacustre (Fr.); kâkuminânakashî (Montagnais)	Bark: Tea drunk as a treatment for diarrhoea and cold [Metis: 13].
Grossulariaceae, Shrub		Leaves: Tea drunk to prevent miscarriages [Metis: 13]. 
		Roots: Tea used against diarrhoea or blood in feces [Montagnais: 71].
Ribes oxyacanthoides L.	Canada gooseberry (Eng.); groseiller du Nord, groseillier hérissé (Fr.); sapoominak, sāpōmin, sābuwmin (Cree); cabo'mĭnaga'wûnj (Ojibwa); daghochį (Dene); daghósjíé (Chipewyan)	Roots: Decoction drunk to stimulate menstruations [Dene: 13; Chipewyan: 92]. 
Grossulariaceae, Shrub		Stems: Steeped in boiling water and the tea drunk by mothers after childbirth to stop excessive bleeding [Metis: 13]. Mixed with Ribes hudsonianum in a decoction used to treat sickness after childbirth [Cree: 95]. Boiled and tea drunk to cure mouth infections, sore stomach and to relieve shortness of breath. Solution also used for sore eyes [Dene: 101]. 
		Fruits: Decoction used to treat weakness and back pain in women [Ojibwa: 47].
Ribes triste Pall.	wild red currant (Eng.); gadellier amer (Fr.); mîci'tcimînûk, cigagwa'tĭgon (Ojibwa); eneeyù' (Dene)	Whole plant: Tea used for stomach problems [Dene: 99].
Grossulariaceae, Shrub		Leaves: Used to prepare "female remedy" [Ojibwa: 87]. Applied to burns [Dene: 100].
		Roots and stalk: Decoction used to treat gravel [Ojibwa: 47].
		Stalk: Mixed with roots of Aralia racemosa and Aralia nudicaulis in a decoction taken in amenorrhoea [Ojibwa: 47]. 
		Bark: Herbal water used to induce menses [Cree: 93].
Rosa acicularis Lindl.	prickly rose (Eng.); églantier, rosier aciculaire (Fr.); kaminakuse, okīnīak, okwāminalwasiāhtik, okinīwapīgwīnīwa, ogiminakasiatik, ōginīatik, owkiniy, owkāmnekusiy, ōkinī (Cree); dabhà (Dene); íntsólé (Chipewyan)	Branches: Boiled to make a decoction drunk to relieve excessive menstruation [Cree: 13]. 
Rosaceae, Shrub		Roots: Decoction given to children to treat diarrhoea, used as eye drops to treat soreness such as from snow blindness [Cree, Dene: 13; Chipewyan: 92]. Infusion used to treat sore eyes [Cree: 95, 96]. Boiled and taken as a cough medicine [Cree: 95; Dene: 98]. Herbal water taken to correct irregular menses and to treat chest cold [Cree: 93].
		Flowers: Eaten raw to prevent or treat cold and fever, petals used as a heart tonic [Dene: 13]. Petals boiled, strained and used as eye drops or as an eye wash to remove dirt and infection [Dene: 99, 100]. Also used for heat rash and cuts [Dene: 99]. Boiled and tea drunk to cure mouth infections, sore stomach, shortness of breath and cough [Dene: 101]. Petals chewed and applied to bee stings [Dene: 98].
		Leaves: Chewed and put on bee stings to prevent swelling and release poison [Dene: 17].
		Fruits: Boiled and drunk as a tea to treat cold and to loosen up the chest [Dene: 17]. Eaten fresh to treat summer cold Also good for the heart [Dene: 99]. 
Rosa arkansana Porter	wild prairie rose (Eng.); rosier des prairies (Fr.); bi'jikiwi'ginĭg (Ojibwa)	Roots: Mixed with the roots of other plants (Solidago juncea, Polygala senega, Artemisia frigida, and Astragalus crassicarpus) in a decoction taken internally for convulsions. Mixed with Artemisia frigida, Astragalus crassicarpus and Polygola senega in a decoction used on wounds to stop bleeding [Ojibwa: 47].
Rosaceae, Shrub		
Rosa blanda Aiton	wild rose (Eng.); rosier inerme, rosier sauvage, églantier (Fr.); o'ginīk (Ojibwa)	Used to prevent scurvy [55].
Rosaceae, Shrub		Roots: Infusion in lukewarm water applied to inflamed eyes [Ojibwa: 84]. 
		Fruits: Skin used for stomach trouble and indigestion [Ojibwa: 87].
		Flowers: Powdered and used to relieve heart-burn [Ojibwa: 87].
Rosa sp.	wild rose (Eng.); rosier sauvage (Fr.); kenukatia-mins, ogĭni'mĭnaga'wûnj (Ojibwa)	Roots: Mixed with the roots of blackberry and blueberry in an infusion taken for diarrhoea [Ojibwa: 85]. Crushed, steeped in water, and the decoction used as an eye-wash [44; Sikani: 97]. 
Rosaceae, Shrub		Inner bark: Soaked in warm water and squeezed over the eyes [Ojibwa: 47]. 
Rosa virginiana Mill.	Virginia rose, dwarf wild rose (Eng.); rosier de Virginie (Fr.); oginī'minagan'mŏs, oki-ni-mi-nah-gash (Ojibwa) 	Roots: Infusion in hot water applied to sore eyes [Ojibwa: 84]. 
Rosaceae, Shrub		Roots and bark: Medicinal [Ojibwa: 86]. 
Rosa woodsii Lindl.	woods' rose (Eng.)	Leaves: Chewed and put on bee stings to prevent swelling and release poison [Dene: 17].
Rosaceae, Shrub		Fruits: Boiled and drunk as a tea to treat cold and to loosen up the chest [Dene: 17].
Rubus allegheniensis Porter	wild blackberry (Eng.); mûrier, ronce alléghanienne (Fr.); tetéga-min, o'dataga'gomic (Ojibwa)	Roots: Mixed with roots of blueberry and a species of wild rose, steeped in water to make a tea as a remedy for diarrhoea, also steeped to make a medicine to correct the condition of a pregnant woman threatened with miscarriage because of overexertion or a similar cause [Chippewa: 85]. Mixed with staghorn sumach, mountain holly, orange-red lily root and mountain respberry and used in consumption, cough and fever [Malecite: 65]. Tea for arresting flux [Ojibwa: 87].
Rosaceae, Shrub		Stem: Tea used as a diuretic [Ojibwa: 87]. 
Rubus chamaemorus L.	cloud berry (Eng.); ronce petit-mûrier, plaquebière, chicoutai (Fr.); nakàl, gors'okà (Dene)	Mixed with staghorn sumach, blackberry root, mountain holly, orange-red lily root and used in consumption, cough and fever [Malecite: 65].
Rosaceae, Herb		Leaves: Crushed and applied to burns, insect bites, and bee stings [Dene: 100].
		Flowers: Boiled and tea applied to sore eyes [Dene: 101]. 
		Berries: Chewed and placed on wounds and sores [Dene: 101]. 
Rubus frondosus Bigelow	black berry (Eng.); ronce de Brainerd (Fr.); oda'tagago'mĭnaga'wûnj (Ojibwa)	Roots: Decoction taken in amenorrhoea, or mixed with inner bark of Quercus macrocarpa in a decoction taken for lung trouble [Ojibwa: 47]. 
Rosaceae, Herb		
Rubus idaeus L.	raspberry (Eng.); framboisier, ronce du mont Ida (Fr.); anosh'kanek, ayooskunak, ayuwskun, uyooskan, ayōsikan, athōskunatikwah, athōskan (Cree); meskwa'mînaga wûnj (Ojibwa); mikominatuk, miskiwimin (Atikamekw); alushikanatuk (Innu); ts'eenakal (Dene); tthekálhjíé (Chipewyan)	Berries: Taken as a heart medicine [Dene: 17].
Rosaceae, Herb		Leaves: Tea used to give strength to women giving birth and to aid the process [Metis: 13]. 
		Stem: Dried and boiled to make a decoction for treating fever [Cree: 13]. 
		Roots: Cooled decoction used as eye drops to treat soreness such as from snow blindness [Dene: 13; Chipewyan: 92]. Tea from root bark used to heal sore eyes [Ojibwa: 87]. Boiled with birch inner bark and the vapor inhaled to treat asthma [Cree: 13]. Tea used against diarrhoea [Algonquin: 69; Innu: 72]. Boiled and used to treat bloody urine [Atikamekw: 73].
		Runners: Steeped and the liquid taken for stomach problems [Mi'kmaq: 62].
		Roots and stem: Mixed with other plants in a decoction used as a drink for children with diarrhoea, or used to wash skin infections [Cree, Dene: 13]. Decoction used to treat teething pain, to help women recover after childbirth, and to slow menstrual bleeding [Cree: 95]. 
		Leaves and fruits: Used as a tonic and diarrhoea remedy [Mi'kmaq: 62]. 
		Stem and leaves: Tea drunk to treat diarrhoea [Dene: 100].
Rubus idaeus L. ssp. strigosus [Michx.) Focke	wild red raspberry (Eng.); framboisier sauvage (Fr.); mĭs'komĭnaga'wûnj (Ojibwa) 	Leaves: Infusion given in cholera and dysentery as an astringent and tonic [Cree: 74]. 
Syn.: R. strigosus Michx. R. idaeus L. var. melanolasius (Dieck) R.J. Davis		Roots and stem: Boiled and used for measles [Ojibwa: 85]. 
Rosaceae, Shrub		Roots: Decoction used in dysentery. Inner bark of roots soaked in water and squeezed over eyes to treat eye problems [Ojibwa: 47]. Tea used for stomach problems [Cree: 96]. Boiled with the roots of Equisetum pratense and taken for stomach problems [Dene: 98]. 
Rubus occidentalis L.	wild black raspberry (Eng.); ronce occidentale, mûrier (Fr.); kadem-sku-min, makadē'wĭskwi'minŏk , oda'tagago'mĭnaga'wûnj (Ojibwa)	Roots: Boiled and used as an eye wash for sore eyes [Ojibwa: 85]. Decoction taken in stomach pain, Rubus idaeus sometimes used as a substitute [Ojibwa: 84]. Decoction used for stomach and bowel troubles [Ojibwa, Penobscot: 66]. Decoction given in back pain and "women diseases" [Ojibwa: 47].
Rosaceae, Herb		
Rubus pubescens Raf. var. pubescens	dwarf raspberry (Eng.); ronce pubescente, catherinettes (Fr.); wabimi'ndgak atho'sis wimi'nol (Malecite)	Steeped with wild strawberry and given in irregular menstruation [Malecite: 65].
Syn.: R. triflorus Richardson		
Rosaceae, Herb		
Rubus sp.	blackberry (Eng.); mûre (Fr.); saptewemi'nus (Malecite); assasawemin, otatakahomin (Atikamekw)	Steeped and given at frequent intervals to treat diarrhoea [Malecite: 65]. 
Rosaceae, Herb		Runners: Steeped and given for stomach problems [Mi'kmaq: 62]. 
		Twigs: Scraped to make a tea taken against bronchitis [Atikamekw: 73].
Rudbeckia laciniata L.	cutleaf coneflower (Eng.); rudbeckie laciniée (Fr.); gi'zûswe'bigwa'ĭs (Ojibwa)	Roots: Mixed with equal amounts of Caulophyllum thalictroides roots in a decoction taken in indigestion [Ojibwa: 47].
Asteraceae, Herb		Flowers: Mixed with Agastache anethiodora and Solidago altissima to make a poultice applied to burns [Ojibwa: 47].
Rumex altissimus Alph. Wood	tall dock, pale dock (Eng.); patience élevée (Fr.) 	Medicinal [Ojibwa: 86]. 
Polygonaceae, Herb		
Rumex aquaticus L.	western dock, yellow dock (Eng.); patience occidentale, doche (Fr.); osaw ochepihk, pikwataskōpīwāhtik (Cree)	Whole plant: Decoction used as a wash to treat joint pain [Metis: 13].
Polygonaceae, Herb		Roots: Bruised or crushed and used in sores and abrasions [Ojibwa: 44]. Root bark chewed and applied to serious wounds to stop bleeding and promote healing [Metis: 13]. Used to treat high blood pressure and heart ailments [Dene: 13]. 
Rumex arcticus Trautv.	arctic dock (Eng.); patience arctique (Fr.)	Leaves: Tea used as a skin wash [Dene: 100].
Polygonaceae, Herb		Roots: Tea used as a skin wash [Dene: 100].
*Rumex crispus L.	curled dock (Eng.); patience crépue, rumex crépu (Fr.); o'zabetshi'wĭk, ci'obûg , oza'widji'bĭk (Ojibwa)	Roots: Steeped with Conioselium chinense, Chimaphila umbellate and Tsuga canadensis and given in bladder problems [Mi'kmaq: 62]. Bruised or crushed and applied to abrasions and sores [Ojibwa: 84]. Powdered, moistened, spread on a cloth and applied as a poultice for skin itching and eruptions. Pounded and applied to cuts and skin ulcers. Poultice applied to swellings [Ojibwa: 47]. Used to heal cuts [Ojibwa: 87]. 
Polygonaceae, Herb		
*Rumex obtusifolius L.	bitter dock (Eng.); patience à feuilles obtuses, rumex à feuilles obtuses (Fr.); oza'widji'bĭk (Ojibwa)	Used on cuts and ulcers [Ojibwa: 47].
Polygonaceae, Herb		Roots: Steeped and applied to skin eruptions [Ojibwa: 47]. 
Rumex orbiculatus A. Gray	water-dock (Eng.); patience orbiculaire, rumex orbiculaire (Fr.); pikwataskōpīwāhtik (Cree)	Whole plant: Decoction applied to painful joints [Cree: 95].
Polygonaceae, Herb		
Rumex salicifolius Weinm. var. mexicanus (Meisn.) C.L. Hitchc.	narrow-leaved dock (Eng.); rumex mexicain (Fr.); pikwataskōpīwāhtik (Cree)	Whole plant: Decoction applied to painful joints [Cree: 95].
Syn.: R. mexicanus Meisn.		
Polygonaceae, Herb		
Rumex sp.	dock weed (Eng.); patience, rumex (Fr.)	Rhizomes: Used as a laxative [Cree: 74].
Polygonaceae, Herb		
Sagittaria cuneata Sheldon.	arrowhead (Eng.); sagittaire cunéaire (Fr.); wapato (Algonquin); wabasi (Ojibwa); deníeke (Chipewyan)	Remedy for indigestion [Ojibwa: 87]. 
Syn.: S. arifolia Nutt. ex J.G. Sm.		Leaves: Applied fresh as a poultice to inflamed skin caused by scrofula [Cree: 13]. Poultice used in skin disorders, cuts, burns and bee stings [Cree: 96].
Alismataceae, Herb		Roots: Used against tuberculosis [Algonquin: 69]. Medicinal [Chipewyan: 92].
Sagittaria latifolia Willd.	arrowhead (Eng.); sagittaire latifoliée (Fr.); muj'ota'bûk (Ojibwa)	Roots: Steeped and taken in indigestion [Ojibwa: 47]. 
Alismataceae, Herb		
Salix bebbiana Sarg.	willow (Eng.); saule de Bebb (Fr.); nepise, nepiseatik, wekope, atikwupamuk, nīpīsīs, nīpīsī, nīpīsīah, nīpīsīgībī, nīpīstakwah (Cree)	Inner bark: Decoction alone or mixed with another plant to treat diarrhoea and stomachache [Cree: 13]. Chewed and applied to deep cuts [Cree: 95].
Salicaceae, Shrub		Twigs: Decoction taken to treat a toothache [Cree: 13]. 
		Roots: Peeled, boiled, and the decoction drunk to relieve fatigue and provide strength. Applied to aching teeth [Cree: 13]. 
Salix candida Flueggé ex Willd.	hoary willow (Eng.); saule tomenteux (Fr.); sisi'gewe'mĭsh (Ojibwa)	Roots: Decoction made with thick inner bark of roots taken for cough [66; Ojibwa: 84]. 
Salicaceae, Shrub		
Salix cordata Michx.	willow (Eng.); saule à tête laineuse (Fr.); kinoze's (Maletice)	Bark: Placed in hot water, removed, greased, and applied to blister. [Malecite: 65]. 
Salicaceae, Shrub		
Salix discolor Muhl.	pussy willow (Eng.); saule discolor, chatons (Fr.); nīpisī (Cree); wigubi (Atikamekw)	Inner bark: Infusion taken to cure diarrhoea [Cree: 95]. Powdered and mixed with boiling water to obtain a paste applied to sore throat [Atikamekw: 73].
Salicaceae, Shrub		Bark and roots: Tea prepared with bark and root of Pinus banksiana, Pinus strobus, Quercus rubra and Arctostaphylos uva-ursi given in fainting and fits [Ojibwa: 86].
		Roots: Tea given in stomach troubles, fainting and trembling [Ojibwa: 86]. Boiled until thick and used to treat skin cancer, taken internally to treat kidney ailments [Mi'kmaq: 62]. Twigs: Infusion used to activate lactation after childbirth [Atikamekw: 73].
Salix fragilis L.	crack willow (Eng.); saule fragile (Fr.); sizigo'bamîc (Ojibwa)	Bark: Used as an astringent, as a styptic and poultice for sores [Ojibwa: 87]. 
Salicaceae, Tree		
Salix lucida Muhl.	squaw bush, red willow, shining willow (Eng.); saule brilliant (Fr.); mûckigo'bamîc, zigo'bamîc (Ojibwa)	Bark: Infusion drunk to stop vomiting and remove bile from the stomach [Montagnais: 70]. Smoked to relieve asthma. Steeped to make a mash to be put in a bandage on the head for headache. Poultice used to heal sores and stop bleeding from cuts [Ojibwa: 87]. Used to treat mouth sores, sores around the eyes and chest colds [Cree: 80].
Salicaceae, Tree		
Salix nigra Marsh.	black willow (Eng.); saule noir (Fr.); sepastikoos (Cree)	Bark: Used fresh as an astringent, haemostatic, tonic, or diuretic [Cree: 74]. 
Salicaceae, Tree		Roots: Poultice used in bruises, sprains, and broken bones [Algonquians: 63]. 
		Leaves: Bruised in hot water and used in sprains and bruises [Algonquians: 63].
Salix planifolia Pursh	tea-leaved willow, diamond-leaved willow, flat-leaved willow (Eng.); saule à feuilles planes (Fr.); waskayabaduk (Cree)	Bark: Used to treat diabetes [Cree: 82]. 
Syn: Salix planifolia Pursh ssp. planifolia		
Salicaceae, Shrub		
Salix pedicellaris Pursh	bog willow (Eng.); saule pédicellé (Fr.); sizigo'bamîc (Ojiwe)	Bark: Used to treat stomach troubles [Ojibwa: 87].
Salicaceae, Shrub		
Salix sp.	willow, osier (Eng.); saule (Fr.); uapineumitshimatuk (Innu); uâpineu-mîtshima (Montagnais); ozĭ'sĭgo'bimĭc (Ojibwa); k'aii, k'ak (Dene)	Chewed and the saliva applied to external sores. White powdery tops chewed for cough [Sikani: 97]. Used in eye diseases [Abenaki: 67]. Compress used to soothe toothache [Innu: 72]. Heated and used for toothache. Dry willow split into halves and rolled on painful arthritic joints. Tea from dry willow placed in sore eyes and inhaled to cure headache [Dene: 101].
Salicaceae, Tree		Bark: Steeped and drunk in quantities for cold [Algonquians: 63]. Used to treat cuts [Algonquin: 75]. Boiled until it turns to a thick paste, then placed in a towel and used locally as a compress for swells, back pain and other types of body pain (e.g. sprains). Tea used in cough [Montagnais: 71]. Bark from young shoots wrapped around a cut like a bandage [Dene: 99]. Tea drunk to cure urinary tract and stomach problems [Dene: 101]. Boiled and applied to back to treat back paralysis [Cree: 93].
		Inner bark: Used in diabetes [Cree: 77, 82, 83]. Decoction taken in indigestion [Ojibwa: 47]. Inner bark from young shoots made into a poultice and used as a pain-killer on wounds [Dene: 99]. Tea used in stomach problems [Cree: 96].
		Roots: Poultice used in bruises, sprains, and broken bones [Algonquians: 63]. Used in dysentry [Ojibwa: 47].
		Leaves: Bruised in hot water and used in sprains and bruises [Algonquians: 63]. Decoction applied to arthritis and swells [Montagnais: 71]. Crushed or chewed and applied to bee stings and other insect bites, burns, rashes, cuts, and toothache [Dene: 99].
		Bark and leaves: Poultice used to treat pain or to relieve insect bites [Dene: 100].
		Branches: Decoction taken as a cough medicine [Dene: 98].
Sambucus nigra L. ssp. canadensis (L.) R. Bolli	common elder, elderberry (Eng.); sureau du Canada, sureau blanc (Fr.); pipigwe-minan (Chippewa)	Bark: Used as an emetic and physic [Algonquians: 63; Mi'kmaq: 60]. Tea used as an emetic and laxative [Algonquin: 69].
Syn.: S. canadensis L.		Roots: Steeped and taken as an emetic and physic [Chippewa: 85]. 
Caprifoliaceae, Shrub		Flowers: Dried and used to make a tea drunk as a diaphoretic [66].
Sambucus racemosa L.	red-fruited elder, red elderberry (Eng.); sureau rouge, sureau pubescent (Fr.); peskigdjila'nimus (Malecite); papaskatcîksi'gana'tig (Ojibwa); mishtukusha (Montagnais)	Bark: Decoction taken internally as a purgative [Sikani: 97]. Steeped in water with round wood and given as an emetic [Malecite: 65]. Used as a purgative or emetic [Ojibwa: 87].
Caprifoliaceae, Tree		Roots: Used to make a medicinal tea [Ojibwa: 86]. 
		Inner bark: Boiled and the liquid drunk for constipation [Ojibwa: 87]. 
		Trunk: Boiled to obtain a decoction used for urinary problems [Montagnais: 71].
Sanguinaria canadensis L.	bloodroot (Eng.); sanguinaire du Canada, sang-dragon (Fr.); pe'kniasuk' (Maletice); meskwi-jibik, mĭs'kodji'bĭk (Ojibwa); pabakan'hilangn, papagakanilhôk (Abenaki)	Used as an abortive [Abenaki: 67] or as a blood medicine [Ojibwa: 86]. Juice used in wound infection [Mi'kmaq: 61]. 
Papaveraceae, Herb		Rhozomes: Used as a tonic [Algonquin: 69].
		Roots: Used to cure sore throat [Ojibwa: 87] or prevent bleeding [Algonquians: 63; Mi'kmaq: 60]. Chewed for heart trouble [Algonquin: 69]. Steeped in water and given in consumption, applied to cuts, and taken for bleeding piles [Malecite: 65]. Steeped and given for tuberculosis [Mi'kmaq: 62]. Mixed with Caulophyllum thalictroides in a decoction taken to treat stomach cramps [Ojibwa: 47]. 
		Rhizomes and roots: Used as an irritant, narcotic, nauseant and emetic [Ojibwa: 88]. 
Sanguisorba canadensis L.	American great burnet (Eng.); sanguisorbe du Canada (Fr.); nishtshikâta (Montagnais)	Root bark: Dried and used to prepare a tea for cough [Montagnais: 71].
Rosaceae, Herb		
Sanicula canadensis L.	Canada sanicle, Canada black snakeroot (Eng.); sanicle du Canada (Fr.); mûkûd'widji'bĭk (Ojibwa)	Roots: Powdered, used to make a decoction taken for amenorrhoea. Mixed with Caltha palustris in a decoction taken in confinement [Ojibwa: 47].
Apiaceae, Herb		
Sanicula marilandica L.	black snakeroot (Eng.); sanicle du Maryland (Fr.); midwiminigak atho'sis wimi'nol (Malecite); masan (Ojibwa)	Roots: Steeped and given in irregular menstruation [Malecite: 65]. Used as a poultice on cure snake bites. Tea used to cure fevers [Ojibwa: 87].
Apiaceae, Herb		
Sanicula odorata (Raf.) K.M. Pryer & L.R. Phillippe	black snakeroot (Eng.); sanicle grégaire (Fr.); wabimi'negakathosiswimi'nal (Malecite)	Roots: Steeped with spikenard and given in kidney trouble [Malecite: 65]. Used for rheumatism, irregular menstruation and slow parturition; also used against snake bites [44].
Syn.: S. gregaria E.P. Bicknell		
Apiaceae, Herb		
Sarracenia purpurea L.	pitcher plant (Eng.); sarracénie pourpre, sabot, oreille de cochon, petits cochons, herbe crapaud (Fr.); alk tsotaco', alicotache, anîtshikâta (Montagnais); ayekitas, ayikitās, ayīkicās, athīkacās (Cree); omakakiwidass (Ojibwa); arikitcakotepik (Atikamekw); makikiotache (Algonquin); ts'ëlitili (Chipewyan)	Steeped and drunk for blood spitting and kidney troubles [Mi'kmaq: 60]. Used against tuberculosis [Mi'kmaq: 62] or lower back pain [Cree: 95]. Decoction used to treat various wounds [Algonquin: 68]. 
Sarraceniaceae, Herb		Whole plant: Steeped and taken in consumption [Malecite: 65]. Used in diabetes [Cree: 77, 82, 83]. Boiled and water used to wash burns and skin infections [Montagnais: 71].
		Leaves: Boiled to make a tea used in urinary difficulties [Algonquin: 69] or as a wash for sores and for children's rashes, the same ailments can also be treated by applying a split leaf on the affected parts [Montagnais: 70]. Steeped and used in smallpox [Algonquians: 63; Montagnais: 70]. Used for chronic chest trouble, cough [Dene: 13] and "women's ailments" [Cree, Dene: 13]. Part of a compound medicinal tea taken to ease childbirth [Algonquin: 69; Cree: 13]. Decoction or infusion taken to remedy sickness associated with amenorrhoea [Cree: 95]. Tea medicinal [Chipewyan: 92]. Herbal water taken in fever and urinary tract problems. Crushed and sniffed for headaches [Cree: 93].  
		Roots: Steeped and drunk for blood spitting, sore throat, kidney problems, and pulmonary complaints [Algonquians: 63]. Used as a poultice on cuts [Cree: 13]. Boiled to make a tea used in urinary difficulties [Algonquin: 69]. Decoction given to women to prevent sickness after childbirth, and mixed with other plants in a decoction taken to help expel the afterbirth. Decoction taken in venereal diseases [Cree: 95]. Steeped in water and liquid taken internally to relieve indigestion [Mi'kmaq: 62]. Used in diabetes [Cree: 77]. Tea used to facilitate parturition [Ojibwa: 87]. Used as a diuretic and, mixed with beaver kidney, used to cure urinary tract diseases [Atikamekw: 73]. Poultice used in skin disorders, cuts, burns and bee stings [Cree: 96].
		Rhizomes: Infusion used in the treatment of smallpox [66; Montagnais: 71].
Sassafras albidum (Nutt.) Nees	sassafras (Eng.); sassafras officinal (Fr.); menagwakemins (Chippewa)	Bark roots: Infusion taken as a springtime medicine to thin the blood [Chippewa: 85].
Syn.: S. variifolium (Salisb.) Ktze.		
Lauraceae, Tree		
Saururus cernuus L.	Indian pepper, lizard's tail (Eng.); saurure penché (Fr.); we-ne-se-bah-gon (Ojibwa)	Stomach medicine [Ojibwa: 86]. 
Saururaceae, Herb		
Schoenoplectus acutus (Muhl. ex Bigelow) A. Löve & D. Löve	bulrush, tule (Eng.); scirpe aigu, grand jonc (Fr.); kichekumewusk, kiychiykāmiyuwusk, ōkīhcīkamīwask, wechahkamewuskwa, mwaskosīwan (Cree)	Stem: Boiled to make a medicine for cough and fever [Metis: 13]. 
Syn.: Scirpus acutus Muhl. ex Bigelow		
Cyperaceae, Herb		
Scirpus microcarpus J. Presl & C. Presl	bulrush (Eng.); scirpe à graines rouges (Fr.); kagskinio'kis (Malecite)	Roots: Poultice used in abscesses. Steeped with Iris versicolor and used to gargle a sore throat [Malecite: 65].
Syn.: S. rubrotinctus Fernald		
Cyperaceae, Herb		
Scutellaria galericulata L.	marsh skullcap (Eng.); toque, tertianaire (Fr.); tcatcabonû'ksîk (Ojibwa)	Used in heart troubles [Ojibwa: 87].
Lamiaceae, Herb		Leaves and flowers: Tea and used to treat ulcer [Metis: 13] and fever [Cree: 13]. 
Scutellaria lateriflora L.	mad-dog scullcap (Eng.); scutellaire latériflore (Fr.)	Mixed with Scutellaria pilosa, Hypericum punctatum and Stylosanthes elatior in a decoction drunk by women to promote menstruation. Also drunk for diarrhoea and used with other plants for painful breasts [44].
Lamiaceae, Herb		
Shepherdia canadensis (L.) Nutt.	soapberry, buffalo-berry (Eng.); shepherdie du Canada, graines de boeuf (Fr.); kinipikomina, kinèpikōminānahtik, kinīpikōminā(h)tik emskuwmnā(h)tik (Cree); dinjik jàk (Dene)	Decoction applied externally to treat aching limbs, arthritis, and sore head and face [Cree: 95].
Syn.: Lepargyrea canadensis (L.) Greene		Whole plant: Tea used as a tonic [Dene: 100].
Elaeagnaceae, Shrub		Leaves and stem: Decoction drunk as a purgative and emetic [Cree: 13, 96], to relieve constipation, tuberculosis [Metis: 13], and used as a wash for cuts, swellings, and skin sores due to impetigo [Metis: 13]. Shoots: Tea from new shoots drunk to prevent miscarriages and used as a wash for arthritis [Cree: 95; Metis: 13]. Taken to treat venereal diseases and blood coughing [Metis: 13].
		Stem: Decoction used for venereal disease [Cree: 95].
